"","Virus","Subtype","clade","day","Sample","sample_time","ferret","PFU","RNA","ratio","AUC_PFU","AUC_RNA","ratio_auc","trans","trans_cat","trans_3cat"
"55","CA147","H5N1","B3.13","d1","NIOSH","30min","6762",0.592514673421732,3.20042976330363,2.6079150898819,0.911273436046145,4.27724874833091,3.36597531228476,0,"non-transmissible","Non-transmissible"
"56","CA147","H5N1","B3.13","d1","NIOSH","30min","6763",0.960491458716326,3.76134864519136,2.80085718647503,2.23924505966916,5.56230698460636,3.3230619249372,0,"non-transmissible","Non-transmissible"
"57","CA147","H5N1","B3.13","d1","NIOSH","30min","6764",0.11539341870207,4.27955107731566,4.16415765861359,1.06963592814139,4.57493368789977,3.50529775975838,0,"non-transmissible","Non-transmissible"
"58","CA147","H5N1","B3.13","d1","NW","","6762",6,8.42933190102662,2.42933190102662,6.55022835305509,9.28357226402456,2.73334391096947,0,"non-transmissible","Non-transmissible"
"59","CA147","H5N1","B3.13","d1","NW","","6763",6,8.92668176218857,2.92668176218857,8.01494034979294,9.75976634794925,1.74482599815631,0,"non-transmissible","Non-transmissible"
"60","CA147","H5N1","B3.13","d1","NW","","6764",6.43136376415899,8.5648599148094,2.13349615065041,7.22659990520736,9.76907756750982,2.54247766230246,0,"non-transmissible","Non-transmissible"
"61","CA147","H5N1","B3.13","d2","SPOT","30min","6762",0,0,0,0.705918864291347,4.21010553929915,3.5041866750078,0,"non-transmissible","Non-transmissible"
"62","CA147","H5N1","B3.13","d2","SPOT","30min","6763",0,0,0,-0.13917917572291,2.49505297498815,2.63423215071106,0,"non-transmissible","Non-transmissible"
"63","CA147","H5N1","B3.13","d2","SPOT","30min","6764",1.37492558320785,6.29514978730449,4.92022420409664,1.39229974131934,5.92890709130942,4.53660734999008,0,"non-transmissible","Non-transmissible"
"64","CA147","H5N1","B3.13","d2","NIOSH","30min","6762",0,3.3345686588635,0,0.911273436046145,4.27724874833091,3.36597531228476,0,"non-transmissible","Non-transmissible"
